Carimbo de data/hora,1 - Sua idade se encaixa em qual faixa etária?,2 - Em qual região de São Paulo você mora?,3 - Você tem dificuldade para utilizar aplicativos no seu celular?,4 - Você usa seu celular para compras diárias ,5 - Qual seu nível de confiança ao comprar online?,"6 - Quando compra online, qual seu método de pagamento preferido?",7 - Você dirige constantemente?,8 - O quanto você usa estacionamento?,9 - Como você classifica sua dificuldade ao encontrar vagas em estacionamentos?,10 - Qual a probabilidade você utilizar um aplicativo para reservar vagas em estacionamentos?
18/03/2024 17:00:31,D) 50+,A) ZL,Sim,Não,Moderada,Cartão de Crédito,Não,Pouco,Baixa,Baixa
18/03/2024 23:42:11,A) 18 - 25,A) ZL,Não,Sim,Alta,Cartão de Crédito,Não,Moderado,Moderada,Moderada
18/03/2024 23:52:37,A) 18 - 25,C) ZS,Não,Não,Moderada,Cartão de Crédito,Sim,Moderado,Moderada,Moderada
19/03/2024 00:49:40,A) 18 - 25,A) ZL,Não,Sim,Alta,PIX,Sim,Moderado,Alta,Alta
19/03/2024 08:12:29,A) 18 - 25,A) ZL,Não,Sim,Moderada,Cartão de Crédito,Não,Pouco,Baixa,Baixa
19/03/2024 09:49:18,A) 18 - 25,A) ZL,Não,Sim,Alta,Cartão de Crédito,Sim,Moderado,Moderada,Alta
19/03/2024 11:07:26,A) 18 - 25,A) ZL,Não,Sim,Alta,PIX,Não,Pouco,Baixa,Baixa
19/03/2024 12:25:01,D) 50+,A) ZL,Não,Sim,Moderada,Cartão de Crédito,Sim,Pouco,Baixa,Baixa
19/03/2024 13:23:41,A) 18 - 25,A) ZL,Não,Sim,Alta,PIX,Sim,Muito,Moderada,Alta
19/03/2024 15:29:41,A) 18 - 25,A) ZL,Não,Sim,Moderada,Cartão de Débito,Não,Pouco,Alta,Moderada
19/03/2024 17:05:39,C) 37 - 50,A) ZL,Sim,Não,Moderada,PIX,Sim,Muito,Alta,Alta
19/03/2024 18:14:41,C) 37 - 50,D) ZN,Não,Sim,Alta,Cartão de Crédito,Sim,Muito,Alta,Alta
19/03/2024 18:15:41,C) 37 - 50,C) ZS,Não,Não,Alta,Cartão de Débito,Sim,Moderado,Moderada,Moderada
19/03/2024 21:19:25,D) 50+,A) ZL,Não,Sim,Moderada,Cartão de Débito,Sim,Muito,Alta,Alta
19/03/2024 21:25:25,C) 37 - 50,A) ZL,Não,Sim,Moderada,PIX,Sim,Moderado,Moderada,Alta
19/03/2024 21:28:38,C) 37 - 50,A) ZL,Não,Sim,Moderada,Cartão de Crédito,Sim,Muito,Alta,Alta
19/03/2024 21:35:01,D) 50+,A) ZL,Não,Não,Baixa,Cartão de Crédito,Sim,Muito,Baixa,Moderada
19/03/2024 21:48:26,C) 37 - 50,A) ZL,Sim,Não,Moderada,Cartão de Débito,Não,Pouco,Moderada,Moderada
19/03/2024 21:50:03,C) 37 - 50,A) ZL,Não,Não,Moderada,Cartão de Crédito,Sim,Moderado,Moderada,Moderada
19/03/2024 21:51:24,C) 37 - 50,A) ZL,Não,Sim,Moderada,Cartão de Crédito,Sim,Moderado,Moderada,Alta
19/03/2024 21:59:21,C) 37 - 50,A) ZL,Não,Sim,Alta,Cartão de Crédito,Sim,Muito,Moderada,Alta
19/03/2024 21:59:55,C) 37 - 50,A) ZL,Não,Sim,Moderada,PIX,Sim,Moderado,Moderada,Moderada
19/03/2024 22:03:10,D) 50+,A) ZL,Não,Sim,Moderada,Cartão de Crédito,Sim,Moderado,Baixa,Alta
19/03/2024 22:04:18,C) 37 - 50,A) ZL,Não,Sim,Baixa,Cartão de Crédito,Sim,Pouco,Moderada,Baixa
19/03/2024 22:11:13,B) 26 - 36,A) ZL,Não,Não,Baixa,Cartão de Crédito,Sim,Muito,Alta,Moderada
20/03/2024 06:33:58,C) 37 - 50,A) ZL,Não,Sim,Moderada,PIX,Sim,Moderado,Baixa,Baixa
20/03/2024 07:04:05,A) 18 - 25,A) ZL,Não,Sim,Alta,Cartão de Crédito,Não,Pouco,Baixa,Alta
20/03/2024 09:20:03,D) 50+,A) ZL,Sim,Não,Alta,Pagamento na entrega,Sim,Moderado,Moderada,Moderada
